"script","sha256","domain","write_operations","delete_operations","references_frozen_book_v7","hardcoded_workspace","has_main_guard","external_reference_count","internal_reference_count","provisional_class","decision"
"add_stanley_xref.py","D6E1B4D5D6B1DD3FF7DEB8AF358E4B8E5E6C0DE2DF9B2B6BF7D4CC5BC7F7CFF0","wechat-media","1","0","False","True","False","0","0","domain-writer-review","pending"
"ai_taste_diag.py","7B753F3BDF58FB5FD87E5763CA416DCAD0435C7411882297327F69ADFC83FBA8","flagship-book","0","0","True","True","False","0","0","read-only-review","pending"
"alchemist_audit.py","7661C33C4107E3EB3D3CA566CC49C7F10FD92F676A0184135EEE758DC99BCEBF","flagship-book","1","0","False","True","False","0","0","domain-writer-review","pending"
"arch_diag_v2.py","4E242F7813F05E8B454A9D6B96EEAC2C10FFC3C07F1025BECB0DE5E541A13ED6","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"architecture_diagram.py","B1E48D6C27CFBF62D64D776A9D0F1A834F75C461AABA5769BB4C8195E6FCFF7F","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"batch_evidence_fix.py","453D14B9695DC8DEAFA77A8506ABDAD4A46B75F1AD2EB5981D94E918E82FA021","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"check_brand.py","679295F2925D2A073F8024B87F44CD12140290C13D35E60FAE470885EA43B3A1","vault-general","0","0","False","True","False","0","0","read-only-review","pending"
"check_missing.py","584192C52DA7F2724536C1C68F1D7BED87932668EEB3952E71536FF789D094D9","skills","0","0","False","True","False","0","0","read-only-review","pending"
"clean_manuscript.py","934378A30D9E6B541543E2CEE92F5FA023F3E9E4E20E30DBE040E7C94C042C22","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"clean_token.py","B7975A4A01587A28E0D9BA0A47EC95415EA9F0504B7B8A875C7EF942A46BBD02","vault-general","1","0","False","False","False","0","0","general-writer-review","pending"
"consolidate_references.py","1E5701271D269CC34CFAB2E48CD86B9CA749652D983DDCCE29EF356F511EF157","flagship-book","1","1","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"content_guard_v7.py","BA53DF61BB978FE1335EF8852987E78421ABA3D03D0D85DFD85D68DBC71D1FB0","flagship-book","0","0","True","True","True","0","0","read-only-review","pending"
"content_quality_audit.py","1FF026FB3CE27B59F81F6B7C10FFED1245D76FF3D10AF05AE27EBE7F45BB4EB9","flagship-book","0","0","True","True","False","0","0","read-only-review","pending"
"content_strategy.py","0A1639E936260325FBA24946AF21654D2928B82EAE740A5E04500A260B2F03BF","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"create_shortcuts.ps1","7B57357BE48994918A1280578C1FFD39689DAF8925962440518BA592DAB4FCEF","vault-general","0","0","False","False","False","0","0","read-only-review","pending"
"dbs_diagnosis.py","AF894580901797BF4FD1B25450F408FEAF49E218F600EA5A37BFA8C4F26B3D47","flagship-book","0","0","True","True","False","0","0","read-only-review","pending"
"enhance_t8_cards.py","D0CE3A48A5C5D69FD21904E06614BF8427648532274FCDF05BD7DE9B9764B19B","skills","1","0","False","True","False","0","0","domain-writer-review","pending"
"enhance_w_series.py","C2BBCEDFF9340AEC46A43AFAFA8EB8CEA618A358774A04C1C26FC1EB7AF959A0","wechat-media","1","0","False","True","False","0","0","domain-writer-review","pending"
"evidence_audit.py","010173693D4DC1CF12BF24A2FD805ED124B913724B07DF00EC00A257607FABEB","flagship-book","1","0","True","True","False","0","1","blocked-frozen-writer","quarantined-read-only-policy"
"evidence_recheck.py","B81ABF7D01A67C62261F94472A30412380F4FB71322E237DE8F547288D828D45","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"gen_slides.py","5B0CED148BF5754F34051196E12DA9053DE2DDAFC570E92E082478D4804EA798","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
"generate_report.ps1","B6799F470B7689F7CFB717C48A7070B60F8ABD33AA88C494450562B22CF97778","flagship-book","1","0","False","True","False","0","0","domain-writer-review","pending"
"health_check.py","8BC01BFDFDD5DA3EC1F0D9970F94B880D48D10591377E67360E5D6C027827F3D","flagship-book","1","0","True","True","False","0","0","blocked-frozen-writer","quarantined-read-only-policy"
