"script","extension","bytes","last_write","status","authority","stale_path_hits","decision"
"add_stanley_xref.py",".py","2016","2026-07-15 01:46:17","review-required","","0","pending"
"ai_taste_diag.py",".py","2339","2026-07-15 01:46:17","review-required","","0","pending"
"alchemist_audit.py",".py","4355","2026-07-15 01:46:17","review-required","","0","pending"
"analyze_vault_v3.ps1",".ps1","2517","2026-06-09 23:40:43","legacy-candidate","","0","pending"
"check_brand.py",".py","759","2026-07-15 01:46:17","review-required","","0","pending"
"check_missing.py",".py","494","2026-07-15 01:46:17","review-required","","0","pending"
"clean_token.py",".py","581","2026-06-11 21:36:38","review-required","","0","pending"
"content_guard_v7.py",".py","4643","2026-07-15 01:46:17","review-required","","0","pending"
"content_quality_audit.py",".py","3441","2026-07-15 01:46:17","review-required","","0","pending"
"create_shortcuts.ps1",".ps1","1644","2026-06-21 22:21:26","review-required","","0","pending"
"dbs_diagnosis.py",".py","3273","2026-07-15 01:46:17","review-required","","0","pending"
"enhance_t8_cards.py",".py","1891","2026-07-15 01:46:17","review-required","","0","pending"
"enhance_w_series.py",".py","2005","2026-07-15 01:46:17","review-required","","0","pending"
"feishu_sync.py",".py","5555","2026-07-15 01:46:17","blocked-sensitive","","0","pending"
"generate_report.ps1",".ps1","4605","2026-07-15 01:46:17","review-required","","0","pending"
"illustration_plan_v2.py",".py","2451","2026-07-15 01:46:17","review-required","","0","pending"
"illustration_plan.py",".py","2739","2026-07-15 01:46:17","review-required","","0","pending"
"legacy-meta/batch_detemplate.ps1",".ps1","7243","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/blocked-frozen-book-writers/arch_diag_v2.py",".py","3796","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/architecture_diagram.py",".py","4491","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/batch_evidence_fix.py",".py","5363","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/clean_manuscript.py",".py","7855","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/consolidate_references.py",".py","7921","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/content_strategy.py",".py","2721","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/evidence_audit.py",".py","5308","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/evidence_recheck.py",".py","1576","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/gen_slides.py",".py","6981","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/health_check.py",".py","5091","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/master_index.py",".py","4518","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/pre_repair_snapshot.py",".py","5054","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/rebuild_practice.py",".py","3854","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/reformat_book.py",".py","5172","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/split_theory_practice.py",".py","6797","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/blocked-frozen-book-writers/wewrite_checklist.py",".py","3377","2026-07-15 01:46:17","blocked-frozen-writer","","0","quarantined-read-only-policy"
"legacy-meta/convert_4_articles.ps1",".ps1","6517","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/convert_articles.py",".py","5173","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/convert_html.py",".py","5019","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
