"script","status","sha256","external_reference_count","external_reference_files","internal_reference_count","internal_reference_files","move_eligible","decision"
"_fix_lists.py","legacy-candidate","E0CFC40A1D5389930412264069F42BB14BC104CA66EA67064DFCF8064402DAD3","0","","0","","True","moved-legacy"
"_scan_faith.py","legacy-candidate","0FBA87DB4FE2C1690D611B3A4FF81F9DCD75F724F96E57D878ACB40787E6D3F9","0","","0","","True","moved-legacy"
"add_stanley_xref.py","review-required","D6E1B4D5D6B1DD3FF7DEB8AF358E4B8E5E6C0DE2DF9B2B6BF7D4CC5BC7F7CFF0","0","","0","","False","pending"
"ai_taste_diag.py","review-required","7B753F3BDF58FB5FD87E5763CA416DCAD0435C7411882297327F69ADFC83FBA8","0","","0","","False","pending"
"alchemist_audit.py","review-required","7661C33C4107E3EB3D3CA566CC49C7F10FD92F676A0184135EEE758DC99BCEBF","0","","0","","False","pending"
"analyze_vault_v2.ps1","legacy-candidate","7AC3C1A63CD64355D962C9A427AC04F5DFBC68D8F3203E9604B64FE37E0CEC82","0","","0","","True","moved-legacy"
"analyze_vault_v3.ps1","legacy-candidate","3CC4462437BF87C1296E4919EBE8C368523C1E752D11991FE6FA09C91A926B26","0","","1","99-系统/脚本\generate_report.ps1","False","pending"
"analyze_vault.ps1","legacy-candidate","3C2ADE3BCC9D3E67CE7D5269E323B21C72BE525341343303349856B5E250693F","0","","0","","True","moved-legacy"
"apply_renzhijuexing_style.py","legacy-candidate","DE7454329FDB6EA9946DB131753839CEFCD82D8B9A41FF642B18639AD5724F7B","0","","0","","True","moved-legacy"
"arch_diag_v2.py","review-required","4E242F7813F05E8B454A9D6B96EEAC2C10FFC3C07F1025BECB0DE5E541A13ED6","0","","0","","False","quarantined-read-only-policy"
"architecture_diagram.py","review-required","B1E48D6C27CFBF62D64D776A9D0F1A834F75C461AABA5769BB4C8195E6FCFF7F","0","","0","","False","quarantined-read-only-policy"
"batch_evidence_fix.py","review-required","453D14B9695DC8DEAFA77A8506ABDAD4A46B75F1AD2EB5981D94E918E82FA021","0","","0","","False","quarantined-read-only-policy"
"batch_fix_g2.py","legacy-candidate","232153F56C87239D25B0ABAC83837F6FD7BD9317277AD622983CD5EEDB768CD5","0","","0","","True","moved-legacy"
"batch_fix_gates.py","legacy-candidate","58607FA84ACC6BB7764242251713F77DA4934A6EBF5E02E85EC205C6DE310A7F","0","","0","","True","moved-legacy"
"batch_fix_v2.py","legacy-candidate","B3A9A615A0FFA79E138A6CE5A6D9D389C2CD21BC26B1624073F3B9727DA34A9B","0","","0","","True","moved-legacy"
"check_brand.py","review-required","679295F2925D2A073F8024B87F44CD12140290C13D35E60FAE470885EA43B3A1","0","","0","","False","pending"
"check_missing.py","review-required","584192C52DA7F2724536C1C68F1D7BED87932668EEB3952E71536FF789D094D9","0","","0","","False","pending"
"clean_manuscript.py","review-required","934378A30D9E6B541543E2CEE92F5FA023F3E9E4E20E30DBE040E7C94C042C22","0","","0","","False","quarantined-read-only-policy"
"clean_token.py","review-required","B7975A4A01587A28E0D9BA0A47EC95415EA9F0504B7B8A875C7EF942A46BBD02","0","","0","","False","pending"
"cleanup_entropy.ps1","legacy-candidate","551A30697B6BD4F69751E4E93EE69B61E64DAD00DACF2257E4BDAE9D59B6A9AA","0","","0","","True","moved-legacy"
"cleanup_g2.py","legacy-candidate","F9A7F2989466D201BBD457850C0DE3FFDAF7DD091041897F2CF7293C95D0C898","0","","0","","True","moved-legacy"
"consolidate_references.py","review-required","1E5701271D269CC34CFAB2E48CD86B9CA749652D983DDCCE29EF356F511EF157","0","","0","","False","quarantined-read-only-policy"
"content_guard_v7.py","review-required","BA53DF61BB978FE1335EF8852987E78421ABA3D03D0D85DFD85D68DBC71D1FB0","0","","0","","False","pending"
"content_quality_audit.py","review-required","1FF026FB3CE27B59F81F6B7C10FFED1245D76FF3D10AF05AE27EBE7F45BB4EB9","0","","0","","False","pending"
"content_strategy.py","review-required","0A1639E936260325FBA24946AF21654D2928B82EAE740A5E04500A260B2F03BF","0","","0","","False","quarantined-read-only-policy"
"create_shortcuts.ps1","review-required","7B57357BE48994918A1280578C1FFD39689DAF8925962440518BA592DAB4FCEF","0","","0","","False","pending"
"dbs_diagnosis.py","review-required","AF894580901797BF4FD1B25450F408FEAF49E218F600EA5A37BFA8C4F26B3D47","0","","0","","False","pending"
"debug_g2.py","legacy-candidate","32340DBA4E10EDFE500BF840DC45FDA5BAA332373C64BB11D1148892DD678F60","0","","0","","True","moved-legacy"
"enhance_t8_cards.py","review-required","D0CE3A48A5C5D69FD21904E06614BF8427648532274FCDF05BD7DE9B9764B19B","0","","0","","False","pending"
"enhance_w_series.py","review-required","C2BBCEDFF9340AEC46A43AFAFA8EB8CEA618A358774A04C1C26FC1EB7AF959A0","0","","0","","False","pending"
"enrich_batch2.py","legacy-candidate","199E692551306465E15D37A30F7A521A0954BC2AAC0EB68C7B5AC6E7D5317DC4","0","","0","","True","moved-legacy"
"enrich_ch03.py","legacy-candidate","6951D6EA4E11E586B1E8715E78461BCE001FE218F52C8555D39D00693FF598CB","0","","0","","True","moved-legacy"
"enrich_wechat.py","legacy-candidate","81AFD977E3236712C1CEFDC13F00B45062B763AF6F484D127635B2CC9DBF7A77","0","","0","","True","moved-legacy"
"evidence_audit.py","review-required","010173693D4DC1CF12BF24A2FD805ED124B913724B07DF00EC00A257607FABEB","0","","1","99-系统/脚本\pre_repair_snapshot.py","False","quarantined-read-only-policy"
"evidence_recheck.py","review-required","B81ABF7D01A67C62261F94472A30412380F4FB71322E237DE8F547288D828D45","0","","0","","False","quarantined-read-only-policy"
"final_cleanup.ps1","legacy-candidate","06C5D2CED0AFB108658865BEF0F8F747F1EE67522416E32596CDD4322A451C1C","0","","0","","True","moved-legacy"
"final_spot_check.py","legacy-candidate","9CC776CEE51D87EB23B0BC72053CCABBA473E3D014ED4A2F816B9F96B8C69C19","0","","0","","True","moved-legacy"
"final_summary.py","legacy-candidate","AA0576F966A47ADC91DDDD934A132E3A077D6CBDA09DE72559634A00A234864F","0","","0","","True","moved-legacy"
"find_dups.py","legacy-candidate","AD22218B5AA2A9BA4BAF41D564510512AB21F9986D6D9777732600E3256C873A","0","","0","","True","moved-legacy"
"find_last2.py","legacy-candidate","994BFAD1F0F2AD2AECCBF698DC7A76969F46A09A77ACF7F47C3D77EBE8638529","0","","0","","True","moved-legacy"
"fix_banned_cards.py","legacy-candidate","C93BC93F7B4BAB48844B650CAFEE4B67398FF4C28D5D4EA39FDCAED7808FF3E1","0","","0","","True","moved-legacy"
"fix_ch02_evidence.py","legacy-candidate","1A021F16DD5393E1939DA9E6EA5E6B4F0126ED8016DDB1DD861DBD7D90DF2C53","0","","0","","True","moved-legacy"
"fix_ch05_evidence.py","legacy-candidate","0E75DDB88AB01640D99D9B587A305F57ADB20D6DBCB9ED5F86B58F922A5999F8","0","","0","","True","moved-legacy"
"fix_g5.py","legacy-candidate","B9DF832773C3CB55D2C78EE751B85C671F1DE9CE22DC1FCA5791E4F0D51070C5","0","","0","","True","moved-legacy"
"fix_remaining_g2.py","legacy-candidate","9670622B21C4D5F842266A806A769D830CA8523617889A371ACBE32F410DCACC","0","","0","","True","moved-legacy"
"fix_stragglers.py","legacy-candidate","DB6B853F429D93781FE40E6C948A376E260850F4276CB4B97EB6B29350601243","0","","0","","True","moved-legacy"
"fix_thin_d9.py","legacy-candidate","732CB54A9EEB78D4B4E749D0892075402ECDC8397C852B0357F77C2ADE09B30F","0","","0","","True","moved-legacy"
"gen_slides.py","review-required","5B0CED148BF5754F34051196E12DA9053DE2DDAFC570E92E082478D4804EA798","0","","0","","False","quarantined-read-only-policy"
"gen_wechat_234.py","legacy-candidate","C53F34AA70ED66ACBEFDBB47E840FEED579720E2C9866271C1BA513FCF8D4BA4","0","","0","","True","moved-legacy"
"gen_wechat_5678.py","legacy-candidate","07162DDF87FEDE25C08D16BF39C540B6C0A9996E2127F81288FC7829CD72C12E","0","","0","","True","moved-legacy"
"gen_wechat_ch01.py","legacy-candidate","24739596269E6FAB5A6F44591111B2AFDF79432AA5D99E5E827F17393B241DCC","0","","0","","True","moved-legacy"
"generate_report.ps1","review-required","B6799F470B7689F7CFB717C48A7070B60F8ABD33AA88C494450562B22CF97778","0","","0","","False","pending"
"health_check.py","review-required","8BC01BFDFDD5DA3EC1F0D9970F94B880D48D10591377E67360E5D6C027827F3D","0","","0","","False","quarantined-read-only-policy"
"illustration_plan_v2.py","review-required","011970A24DF23E2B6D87CD3D1E4FCB7CD45CE1FEFDC2E0E9323BC009ADAABBBF","0","","0","","False","pending"
"illustration_plan.py","review-required","75F16B489D958A1E7DDF47840572F8E520681FEFC936BA336C3310F0FC2288F9","0","","0","","False","pending"
"map-units-to-projects.ps1","review-required","FA89B12C32827638AB24B240F26D6888D4B641EBAA8A7B5E534C12E55AB0ED5C","0","","0","","False","pending"
"master_index.py","review-required","91ABD471911074CC1D5BC987C280BAF33F7A9E9873CFBF07F55F1AAA1AF54E8B","0","","0","","False","quarantined-read-only-policy"
"media_quality_scan.py","review-required","C97733C14086AD4A4F045FB7E8A68C195FEDD54B486258D8F828757C1359ECD3","0","","0","","False","pending"
"migrate_top_level.ps1","legacy-stale-paths","E1C4DA685548B896EF16AF73E6499507C9998DF85A5FEA91F0692E3A4E975CDC","0","","0","","False","pending"
"pre_repair_snapshot.py","legacy-candidate","330C95510184E3159A8DDEDAF1DA565A4447587DC7B82EF040FC2717B2B303C0","2",".\99-系统\日志\reports\monthly-summary-2026-06.md | .\08-媒体与产品\媒体\flagship\book-v7\00-缓冲区\PUBLISH_CHECKLIST.md","1","99-系统/脚本\monthly_log_summary.py","False","quarantined-read-only-policy"
"qa_recheck.py","review-required","7E17EC02E51D1274BD3611F4EA406D1B97DD4B024C4C2F3A82D48AEF8FC5FE95","0","","0","","False","pending"
"rebuild_home.ps1","legacy-candidate","4870E0043B78FC30C69E88847BE90A6ECA20FA545DEEA35440EBD23C73B596EF","0","","1","99-系统/脚本\generate_report.ps1","False","pending"
"rebuild_practice.py","review-required","E1DF727BB787D20691E8C1639A8EAA9E92BA1A5591B563833207E9406575C80E","0","","0","","False","quarantined-read-only-policy"
"reformat_book.py","review-required","C85566839A9AAE2C66185A0A3AF2554276054C8EBFB744F1027AAB6640D5110D","0","","0","","False","quarantined-read-only-policy"
"repair_compound_path_replacements.ps1","legacy-stale-paths","B21EC37C0CB4E3E00A071D4FC020A326E5C7DA719863E1C5BF69CACE91FA8A00","0","","0","","False","pending"
"repair_dedup_damage.py","legacy-candidate","A5A4B0878B803A05C55BE6C54654908C290F19157D9FA31D7F3B100AE0332FCD","0","","0","","True","moved-legacy"
"scan_low_quality.ps1","legacy-candidate","2360C46D920D9252D70AFFF1CEF97671441BC71FE132D0241593B7BF36CB7049","0","","0","","True","moved-legacy"
"scan_skills_v2.py","legacy-candidate","FAB5CECAC39EBE00D15AA2730FD6003EC5F49D48CCE081DD30E1809C02124530","0","","0","","True","moved-legacy"
"scan_skills.py","legacy-candidate","DFAB465BE6035437B5AC1F9E57C75B97F288AEB6DF57A4D32E0C699AFA557C66","0","","0","","True","moved-legacy"
"scan_strict.py","legacy-candidate","27EF7B0F86536EAF18068A58BE4554FC741DD0D324E9D5B2E1D615956CDF95A2","0","","0","","True","moved-legacy"
"split_theory_practice.py","review-required","EA7D26F978221888943EB34F36F8836D25FED6033BCCD4008689842B78BA7053","0","","0","","False","quarantined-read-only-policy"
"spot_check_v2.py","legacy-candidate","72C0E9095E8EDF51B060B6EE6D496983D8D4EC4B865056A16CEFDF709C58DB36","0","","0","","True","moved-legacy"
"spot_check.py","legacy-candidate","821AEFD5D812D54C3F017A6D9C32D3F59C534703CDBB5FC325FCE93799415B42","0","","0","","True","moved-legacy"
"traffic_fix_r1.py","legacy-candidate","A0EEA2484DFDC13D0CC5D21550A45647169EC12A83BE25406907BD5CE5A41A8E","0","","0","","True","moved-legacy"
"traffic_fix_r3.py","legacy-candidate","9784698A4545FCE0F27C279B22D0EDFBD3940800AA23C0324E41736F01DE2227","0","","0","","True","moved-legacy"
"traffic_r2_eval.py","legacy-candidate","D1C65F4EC3CBE9E59D1C86546FFFCC3050D6C0A35ED5D9899BFCC78B8B2CABE4","0","","0","","True","moved-legacy"
"traffic_r2b_eval.py","legacy-candidate","A669F9E659239B0B0FED3D8E0E95174546BF7B111A374AE5C32CECB5BF15D460","0","","0","","True","moved-legacy"
"traffic_review_r1.py","legacy-candidate","E7982B4FDA795B1EFBB7973213FFB9C4F454C6067B9B7D763A9627E07AD64BA8","0","","0","","True","moved-legacy"
"utility_audit.py","review-required","B3715179D03EC7A7EA4679C4EAE5F4BF7BB75FD620ED33585EE244F5777E93D5","0","","0","","False","pending"
"wechat_audit.py","review-required","AE73CCBBA2215A8AD89AC85FCCD23850ED3B6462B87A17A3F38A57A4B438AFD5","0","","0","","False","pending"
"weread_batch2.py","legacy-candidate","3687B68DD6EFB8B26164259673091A33E49745D13C9046AC463C6664EED59975","0","","0","","True","moved-blocked-sensitive"
"weread_batch3.py","legacy-candidate","DD73883994AB7CF0603722AF2CAC9EED94CB55AFB5BD4396F5E3498A7BC89DFC","0","","0","","True","moved-blocked-sensitive"
"weread_ev_v2.py","legacy-candidate","C23B1D3FFE5F45DCD20A531015A06BC3B0D386BE7BE0F255B439956BA2BE83A3","0","","0","","True","moved-legacy"
